FILTER,WAVELENGTH,APER#0.04,APER#0.08,APER#0.12,APER#0.16,APER#0.20,APER#0.24,APER#0.28,APER#0.32,APER#0.36,APER#0.40,APER#0.44,APER#0.48,APER#0.51,APER#0.55,APER#0.59,APER#0.63,APER#0.67,APER#0.71,APER#0.75,APER#0.79,APER#0.83,APER#0.87,APER#0.91,APER#0.95,APER#0.99,APER#1.03,APER#1.07,APER#1.11,APER#1.15,APER#1.19,APER#1.23,APER#1.27,APER#1.31,APER#1.35,APER#1.39,APER#1.43,APER#1.47,APER#1.50,APER#1.54,APER#1.58,APER#1.62,APER#1.66,APER#1.70,APER#1.74,APER#1.78,APER#1.82,APER#1.86,APER#1.90,APER#1.94,APER#1.98,APER#6.0
F390W,3920.7226933949187,0.27549,0.60689,0.75856,0.81721,0.84784,0.86613,0.87893,0.88915,0.89715,0.90332,0.90822,0.9124,0.91612,0.9194,0.92224,0.92472,0.92709,0.92951,0.93203,0.93468,0.93742,0.9401,0.94263,0.945,0.94727,0.94945,0.95158,0.95371,0.95587,0.95799,0.96007,0.96218,0.9643,0.96629,0.96819,0.97003,0.9721,0.97404,0.97526,0.97648,0.97769,0.97891,0.98013,0.98135,0.98256,0.98378,0.985,0.98622,0.98744,0.98865,1.0
F395N,3955.154599565268,0.26577,0.59761,0.74913,0.81328,0.84864,0.8675,0.87919,0.88798,0.89585,0.90283,0.90828,0.91278,0.91682,0.92053,0.92385,0.92627,0.92806,0.92997,0.93219,0.93486,0.93729,0.93937,0.94181,0.94433,0.94694,0.94936,0.95136,0.95317,0.95527,0.95746,0.95922,0.96143,0.96382,0.96564,0.96741,0.96972,0.97175,0.97367,0.97491,0.97615,0.97739,0.97863,0.97987,0.9811,0.98234,0.98358,0.98482,0.98606,0.9873,0.98854,1.0
F410M,4108.877387493447,0.15838,0.43343,0.65508,0.78027,0.83676,0.86367,0.87872,0.88813,0.89603,0.90293,0.90882,0.91378,0.91796,0.92146,0.92475,0.92779,0.93019,0.93216,0.93414,0.93605,0.9383,0.94047,0.94252,0.94464,0.94685,0.94936,0.95158,0.95374,0.95564,0.9571,0.959,0.96107,0.96309,0.9649,0.96691,0.96913,0.97104,0.97285,0.97411,0.97537,0.97663,0.97789,0.97915,0.9804,0.98166,0.98292,0.98418,0.98544,0.9867,0.98796,1.0
F438W,4325.143203979978,0.28304,0.61285,0.76516,0.82205,0.85247,0.87151,0.88391,0.89395,0.90222,0.90886,0.91419,0.91842,0.92216,0.9255,0.92838,0.93098,0.93327,0.93523,0.937,0.93881,0.94084,0.94303,0.94524,0.94735,0.94944,0.9515,0.95348,0.95535,0.95704,0.95866,0.96025,0.96186,0.96357,0.96531,0.96702,0.96877,0.97052,0.9722,0.97344,0.97468,0.97593,0.97717,0.97841,0.97965,0.98089,0.98214,0.98338,0.98462,0.98586,0.9871,1.0
F467M,4682.59812054484,0.28415,0.6124,0.76288,0.81893,0.85094,0.873,0.88615,0.89585,0.90352,0.90963,0.91554,0.92055,0.92409,0.92739,0.9307,0.93362,0.9362,0.93835,0.94001,0.94152,0.94303,0.94462,0.94648,0.94845,0.95023,0.95188,0.95359,0.9555,0.9575,0.95935,0.96094,0.96238,0.96373,0.96507,0.96652,0.96817,0.96967,0.97112,0.97234,0.97355,0.97476,0.97598,0.97719,0.9784,0.97962,0.98083,0.98204,0.98326,0.98447,0.98569,1.0
F469N,4688.10172361943,0.28679,0.61236,0.76187,0.81762,0.84962,0.87204,0.88529,0.89493,0.90258,0.90865,0.91462,0.91967,0.92322,0.92646,0.92979,0.93278,0.93544,0.93769,0.93945,0.94103,0.94257,0.94423,0.94609,0.94809,0.94987,0.95154,0.95326,0.95515,0.95719,0.95916,0.96083,0.9624,0.96376,0.96511,0.96657,0.96816,0.96965,0.97111,0.97232,0.97353,0.97475,0.97596,0.97717,0.97839,0.9796,0.98081,0.98203,0.98324,0.98445,0.98567,1.0
F475W,4772.170955257982,0.26652,0.59253,0.75524,0.81914,0.85068,0.87102,0.88405,0.89393,0.90241,0.90939,0.91504,0.91973,0.92373,0.92715,0.93021,0.93293,0.93528,0.93734,0.93921,0.94094,0.94273,0.94453,0.94634,0.9482,0.95011,0.952,0.95387,0.95565,0.95736,0.95899,0.96056,0.96212,0.96363,0.96514,0.96659,0.96802,0.96945,0.97085,0.97206,0.97326,0.97447,0.97568,0.97688,0.97809,0.9793,0.9805,0.98171,0.98292,0.98412,0.98533,1.0
F487N,4871.376755722207,0.26759,0.59533,0.75053,0.81062,0.84551,0.87027,0.88438,0.89358,0.90095,0.90722,0.91309,0.91889,0.92364,0.92682,0.92993,0.93293,0.93566,0.93855,0.94121,0.94345,0.94565,0.9476,0.94929,0.9507,0.95202,0.95324,0.95419,0.95469,0.95663,0.95909,0.96123,0.96249,0.96389,0.96527,0.96689,0.96786,0.96922,0.97056,0.97175,0.97295,0.97415,0.97535,0.97655,0.97775,0.97895,0.98015,0.98134,0.98254,0.98374,0.98494,1.0
F475X,4875.10349917692,0.21207,0.51536,0.68702,0.7667,0.80783,0.83146,0.84655,0.85766,0.86655,0.9071,0.88099,0.88725,0.89301,0.8984,0.90366,0.9087,0.91357,0.9184,0.92296,0.92729,0.93136,0.93521,0.9389,0.9424,0.94567,0.94861,0.95138,0.95395,0.95623,0.95827,0.96014,0.962,0.96378,0.96549,0.96699,0.96784,0.96919,0.97052,0.97172,0.97291,0.97411,0.97531,0.97651,0.97771,0.9789,0.9801,0.9813,0.9825,0.9837,0.98489,1.0
F200LP,4937.413737206328,0.24906,0.57418,0.74053,0.80828,0.84375,0.86716,0.88238,0.89253,0.90038,0.90701,0.91265,0.91749,0.92167,0.92534,0.92864,0.93145,0.93387,0.93599,0.93806,0.94006,0.94195,0.94378,0.94554,0.94727,0.94914,0.95108,0.95293,0.9548,0.95655,0.95822,0.95993,0.96161,0.96326,0.9649,0.96647,0.96774,0.96906,0.97035,0.97154,0.97274,0.97393,0.97512,0.97632,0.97751,0.9787,0.9799,0.98109,0.98228,0.98348,0.98467,1.0
F502N,5009.635794318184,0.28164,0.60529,0.76092,0.81903,0.84992,0.87318,0.88745,0.89695,0.90506,0.91133,0.91671,0.92208,0.92636,0.92943,0.93253,0.93563,0.93826,0.94064,0.94275,0.94439,0.94578,0.94717,0.94855,0.95001,0.95169,0.95337,0.95489,0.95635,0.95785,0.95954,0.96135,0.96293,0.96417,0.96538,0.96657,0.96764,0.96891,0.97017,0.97135,0.97254,0.97372,0.9749,0.97609,0.97727,0.97846,0.97964,0.98083,0.98201,0.9832,0.98438,1.0
F555W,5307.912121461649,0.27588,0.60125,0.76452,0.82589,0.85435,0.87459,0.88833,0.89776,0.90569,0.91272,0.91865,0.92356,0.92766,0.93116,0.93421,0.93687,0.93927,0.94145,0.94336,0.94507,0.94663,0.94811,0.94962,0.95111,0.95259,0.95409,0.95562,0.95717,0.95864,0.96004,0.96143,0.96277,0.96406,0.96529,0.96649,0.96769,0.96893,0.97015,0.97122,0.97228,0.97335,0.97442,0.97548,0.97655,0.97762,0.97868,0.97975,0.98082,0.98188,0.98295,1.0
F547M,5447.240452057796,0.27166,0.59301,0.75642,0.81894,0.84799,0.87064,0.88664,0.89646,0.90435,0.91125,0.91656,0.92139,0.92612,0.92994,0.9328,0.93554,0.9383,0.94081,0.943,0.94497,0.94665,0.9481,0.94948,0.95083,0.95221,0.95368,0.95523,0.95673,0.95818,0.95958,0.961,0.96249,0.96398,0.96543,0.96679,0.96771,0.96894,0.97014,0.97115,0.97216,0.97318,0.97419,0.9752,0.97621,0.97722,0.97823,0.97925,0.98026,0.98127,0.98228,1.0
F350LP,5851.148285481659,0.25101,0.57754,0.7404,0.8091,0.84289,0.86391,0.87858,0.88933,0.89767,0.90437,0.90995,0.91477,0.91899,0.92265,0.9259,0.9288,0.93147,0.934,0.93641,0.93871,0.94099,0.94318,0.94529,0.94729,0.94918,0.951,0.95285,0.95469,0.9565,0.95823,0.95991,0.96163,0.96336,0.9651,0.96676,0.96777,0.96897,0.97012,0.97097,0.97183,0.97268,0.97353,0.97439,0.97524,0.97609,0.97695,0.9778,0.97865,0.97951,0.98036,1.0
F606W,5887.7123612157175,0.26982,0.58842,0.75473,0.82193,0.85065,0.87112,0.88677,0.89749,0.9053,0.91198,0.91789,0.92306,0.92742,0.9311,0.93441,0.93737,0.93999,0.94232,0.94444,0.94635,0.94805,0.94958,0.95101,0.95241,0.95377,0.95512,0.95644,0.95774,0.95907,0.96039,0.96171,0.96302,0.96428,0.96548,0.96666,0.96777,0.96897,0.97012,0.97095,0.97179,0.97263,0.97347,0.9743,0.97514,0.97598,0.97681,0.97765,0.97849,0.97933,0.98016,1.0
F621M,6219.158326532793,0.27127,0.5883,0.75244,0.81978,0.84656,0.86729,0.88639,0.8983,0.90531,0.91163,0.91791,0.92279,0.92679,0.931,0.93508,0.93814,0.94045,0.94282,0.94526,0.94741,0.94923,0.95101,0.95269,0.95408,0.95521,0.95631,0.95743,0.95847,0.9594,0.96051,0.96172,0.96293,0.96405,0.96508,0.96618,0.9676,0.96877,0.96989,0.97065,0.9714,0.97216,0.97292,0.97368,0.97443,0.97519,0.97595,0.97671,0.97746,0.97822,0.97898,1.0
F625W,6241.963099542033,0.26062,0.57853,0.74675,0.8176,0.84598,0.86665,0.88441,0.89624,0.90389,0.9106,0.91679,0.92198,0.92639,0.93047,0.93404,0.93712,0.93982,0.94228,0.94453,0.94663,0.94853,0.95025,0.9518,0.95317,0.95443,0.9556,0.95673,0.95785,0.95904,0.96031,0.96153,0.96282,0.96401,0.96523,0.96639,0.96758,0.96875,0.96986,0.97062,0.97137,0.97213,0.97288,0.97363,0.97439,0.97514,0.9759,0.97665,0.9774,0.97816,0.97891,1.0
F631N,6304.282607633496,0.27004,0.57562,0.74064,0.81065,0.83894,0.86069,0.88107,0.89452,0.90148,0.90702,0.91358,0.91866,0.92302,0.92781,0.93215,0.93598,0.93913,0.94208,0.94542,0.94839,0.95014,0.95154,0.95376,0.95612,0.95788,0.95915,0.96019,0.96167,0.96274,0.96308,0.96312,0.96402,0.96511,0.96557,0.96587,0.96753,0.96869,0.9698,0.97054,0.97129,0.97203,0.97278,0.97352,0.97427,0.97501,0.97575,0.9765,0.97724,0.97799,0.97873,1.0
F645N,6453.584859381434,0.27448,0.5774,0.74146,0.81187,0.83966,0.86085,0.88187,0.89617,0.90289,0.90876,0.91492,0.91985,0.92319,0.92691,0.93106,0.93519,0.93782,0.94022,0.94312,0.94583,0.94775,0.94936,0.95083,0.95201,0.95352,0.95522,0.95664,0.95762,0.95894,0.96051,0.96227,0.9632,0.96359,0.96447,0.96612,0.9674,0.96856,0.96965,0.97037,0.97109,0.97181,0.97253,0.97325,0.97397,0.97469,0.97541,0.97613,0.97685,0.97757,0.97829,1.0
F656N,6561.361213546296,0.27439,0.57357,0.73362,0.80487,0.83243,0.85353,0.87429,0.8894,0.89726,0.90321,0.90968,0.916,0.92025,0.92372,0.92788,0.93274,0.93551,0.93735,0.93945,0.94271,0.94549,0.94746,0.94871,0.95122,0.95339,0.95493,0.95554,0.9569,0.95858,0.95991,0.96151,0.96261,0.96354,0.9649,0.96702,0.96731,0.96846,0.96954,0.97024,0.97094,0.97165,0.97235,0.97306,0.97376,0.97446,0.97517,0.97587,0.97657,0.97728,0.97798,1.0
F657N,6566.598713879296,0.27261,0.57511,0.73745,0.80875,0.83487,0.85462,0.87457,0.88846,0.89493,0.90043,0.90656,0.91205,0.91577,0.91934,0.92339,0.92849,0.93176,0.93389,0.93673,0.93989,0.94333,0.94559,0.94773,0.9502,0.95155,0.95266,0.95401,0.95593,0.95749,0.95923,0.96133,0.96241,0.96404,0.96557,0.96707,0.96731,0.96845,0.96953,0.97023,0.97094,0.97164,0.97234,0.97304,0.97375,0.97445,0.97515,0.97585,0.97656,0.97726,0.97796,1.0
F658N,6583.923428896129,0.27103,0.57625,0.73684,0.80772,0.83413,0.85405,0.87385,0.88821,0.89518,0.90035,0.906,0.91152,0.91529,0.9189,0.92272,0.92738,0.93066,0.93285,0.9349,0.93732,0.93917,0.94098,0.94438,0.94709,0.94926,0.95135,0.9533,0.95504,0.95669,0.95829,0.95935,0.96069,0.96314,0.96495,0.96657,0.96729,0.96843,0.96951,0.97021,0.97091,0.97161,0.97231,0.97301,0.97371,0.97441,0.97511,0.97581,0.97651,0.97721,0.97791,1.0
F665N,6655.843654330597,0.26917,0.56665,0.73526,0.8103,0.83837,0.85922,0.87927,0.89546,0.9031,0.90846,0.91465,0.92024,0.92423,0.92784,0.93178,0.93579,0.93872,0.9409,0.94249,0.94462,0.94687,0.94888,0.9512,0.9533,0.95444,0.95554,0.95675,0.95796,0.95909,0.95972,0.96063,0.96203,0.9636,0.96427,0.96537,0.96723,0.96837,0.96944,0.97013,0.97082,0.97151,0.97219,0.97288,0.97357,0.97426,0.97495,0.97564,0.97632,0.97701,0.9777,1.0
F673N,6765.909934956246,0.27107,0.57289,0.73588,0.81162,0.83916,0.85867,0.87861,0.89469,0.90245,0.90745,0.9128,0.91887,0.92302,0.92625,0.92981,0.93423,0.93831,0.94046,0.94223,0.94487,0.94745,0.94964,0.9525,0.9545,0.95606,0.95809,0.95943,0.96005,0.96069,0.96155,0.96257,0.96383,0.96564,0.96658,0.96664,0.96714,0.96826,0.96933,0.97,0.97067,0.97134,0.97201,0.97268,0.97335,0.97403,0.9747,0.97537,0.97604,0.97671,0.97738,1.0
F689M,6876.497711020483,0.25835,0.5581,0.72288,0.80262,0.8324,0.85327,0.87335,0.89096,0.90011,0.90568,0.91129,0.91703,0.9214,0.92492,0.92894,0.9333,0.93713,0.94004,0.94219,0.94416,0.94662,0.94897,0.95111,0.95263,0.95411,0.95534,0.95679,0.95789,0.95907,0.96,0.961,0.96247,0.96387,0.96526,0.96692,0.96704,0.96816,0.96922,0.96987,0.97052,0.97118,0.97183,0.97248,0.97314,0.97379,0.97444,0.9751,0.97575,0.9764,0.97706,1.0
F680N,6877.408013975712,0.26409,0.56314,0.72986,0.80941,0.83875,0.85861,0.87753,0.89443,0.90336,0.90869,0.91374,0.91976,0.92432,0.92763,0.93108,0.93536,0.93894,0.941,0.94291,0.94486,0.94707,0.9492,0.95084,0.9526,0.95448,0.95607,0.95732,0.95826,0.95924,0.96034,0.9613,0.96242,0.96357,0.9647,0.96582,0.96704,0.96816,0.96921,0.96987,0.97052,0.97117,0.97183,0.97248,0.97314,0.97379,0.97444,0.9751,0.97575,0.9764,0.97706,1.0
F600LP,7453.660786111495,0.23807,0.54066,0.716,0.8063,0.84206,0.85952,0.8744,0.88752,0.89801,0.90627,0.91337,0.91966,0.92488,0.92918,0.93308,0.9366,0.93959,0.94205,0.9444,0.9467,0.94876,0.95046,0.95211,0.95348,0.95471,0.95584,0.95693,0.95797,0.95909,0.96016,0.96126,0.96223,0.96318,0.9642,0.96526,0.96618,0.96722,0.96821,0.96887,0.96954,0.97021,0.97088,0.97155,0.97222,0.97289,0.97356,0.97423,0.9749,0.97557,0.97624,1.0
F763M,7612.744622820045,0.26773,0.55477,0.7152,0.81145,0.84248,0.85692,0.87002,0.88439,0.89693,0.90387,0.90954,0.91542,0.92223,0.92819,0.93206,0.93516,0.93845,0.94164,0.94411,0.94662,0.9492,0.95133,0.95338,0.95513,0.95628,0.9567,0.95778,0.95889,0.95942,0.95955,0.95992,0.96149,0.96251,0.96333,0.96488,0.96589,0.96691,0.96787,0.96855,0.96924,0.96992,0.9706,0.97128,0.97197,0.97265,0.97333,0.97401,0.9747,0.97538,0.97606,1.0
F775W,7648.3046091546,0.26053,0.54776,0.70804,0.80632,0.84195,0.85724,0.8703,0.88415,0.89622,0.90392,0.90992,0.91612,0.92253,0.92793,0.93181,0.93475,0.93778,0.94072,0.94315,0.94517,0.94709,0.94902,0.95086,0.95249,0.95393,0.95516,0.95628,0.95725,0.9585,0.95983,0.9611,0.96196,0.96298,0.96398,0.96485,0.96583,0.96684,0.9678,0.96849,0.96917,0.96986,0.97054,0.97123,0.97191,0.9726,0.97328,0.97397,0.97465,0.97534,0.97602,1.0
F814W,8029.321707414349,0.1194,0.4048,0.6383,0.757,0.8211,0.851,0.8672,0.8806,0.8925,0.9019,0.9087,0.914,0.9127,0.918,0.9223,0.9258,0.929,0.932,0.9347,0.9371,0.9392,0.9412,0.9431,0.9448,0.9463,0.9478,0.9492,0.9504,0.9515,0.9525,0.9535,0.9544,0.9553,0.9562,0.9571,0.958,0.9589,0.9595,0.9604,0.9612,0.9619,0.9627,0.9635,0.9643,0.965,0.9658,0.9666,0.9673,0.968,0.9687,1.0
F845M,8437.273948771104,0.1194,0.4048,0.6383,0.757,0.8211,0.851,0.8672,0.8806,0.8925,0.9019,0.9087,0.914,0.9127,0.918,0.9223,0.9258,0.929,0.932,0.9347,0.9371,0.9392,0.9412,0.9431,0.9448,0.9463,0.9478,0.9492,0.9504,0.9515,0.9525,0.9535,0.9544,0.9553,0.9562,0.9571,0.958,0.9589,0.9595,0.9604,0.9612,0.9619,0.9627,0.9635,0.9643,0.965,0.9658,0.9666,0.9673,0.968,0.9687,1.0
F850LP,9169.937547483578,0.1194,0.4048,0.6383,0.757,0.8211,0.851,0.8672,0.8806,0.8925,0.9019,0.9087,0.914,0.9127,0.918,0.9223,0.9258,0.929,0.932,0.9347,0.9371,0.9392,0.9412,0.9431,0.9448,0.9463,0.9478,0.9492,0.9504,0.9515,0.9525,0.9535,0.9544,0.9553,0.9562,0.9571,0.958,0.9589,0.9595,0.9604,0.9612,0.9619,0.9627,0.9635,0.9643,0.965,0.9658,0.9666,0.9673,0.968,0.9687,1.0
F953N,9530.496190751994,0.1194,0.4048,0.6383,0.757,0.8211,0.851,0.8672,0.8806,0.8925,0.9019,0.9087,0.914,0.9127,0.918,0.9223,0.9258,0.929,0.932,0.9347,0.9371,0.9392,0.9412,0.9431,0.9448,0.9463,0.9478,0.9492,0.9504,0.9515,0.9525,0.9535,0.9544,0.9553,0.9562,0.9571,0.958,0.9589,0.9595,0.9604,0.9612,0.9619,0.9627,0.9635,0.9643,0.965,0.9658,0.9666,0.9673,0.968,0.9687,1.0
FFFFF,11000.00000000000,0.1194,0.4048,0.6383,0.757,0.8211,0.851,0.8672,0.8806,0.8925,0.9019,0.9087,0.914,0.9127,0.918,0.9223,0.9258,0.929,0.932,0.9347,0.9371,0.9392,0.9412,0.9431,0.9448,0.9463,0.9478,0.9492,0.9504,0.9515,0.9525,0.9535,0.9544,0.9553,0.9562,0.9571,0.958,0.9589,0.9595,0.9604,0.9612,0.9619,0.9627,0.9635,0.9643,0.965,0.9658,0.9666,0.9673,0.968,0.9687,1.0
